	Protein Inference	Main Accession	Description	Protein Group	Secondary Accessions	Chromosome	Gene Name	Taxonomy	Organism Identifier	Validated Coverage [%]	All Coverage [%]	Possible Coverage [%]	#Peptides	#Validated Peptides	#Unique Peptides	#Validated Unique Peptides	#PSMs	#Validated PSMs	Confidently Localized Modification Sites	#Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Spectrum Counting	MW [kDa]	Confidence [%]	Validation
80	Single Protein	P0DOX2	Immunoglobulin alpha-2 heavy chain (IGA2_HUMAN)	P0DOX2				Homo sapiens	9606	34.51	41.98	56.7	32	25	4	2	102	84	Oxidation of M (M81, M415);Pyrolidone from E (S338, E339)	Oxidation of M (2);Pyrolidone from E (2)			154.39326240049118	48.903215610244146	100.0	Confident
81	Single Protein	OAS_antibody_pep_29322		OAS_antibody_pep_29322						100.0	100.0	100.0	1	1	1	1	2	2					74.21231802389701	1.96703236925594	100.0	Doubtful
82	Single Protein	P34096	Ribonuclease 4 (RNAS4_HUMAN)	P34096		14	RNASE4	Homo sapiens	9606	8.84	14.97	67.35	2	1	2	1	2	1	Pyrolidone from Q (R37)	Pyrolidone from Q (1)			7.1213840527981995	16.82936961299373	100.0	Doubtful
83	Single Protein	Q6EMK4	Vasorin (VASN_HUMAN)	Q6EMK4		16	VASN	Homo sapiens	9606	4.01	4.01	32.1	2	2	2	2	3	2					6.527935381731681	71.66751694067482	99.68354430379746	Confident
84	Single Protein	P04217	Alpha-1B-glycoprotein (A1BG_HUMAN)	P04217		19	A1BG	Homo sapiens	9606	42.63	43.03	48.89	33	28	10	10	119	110	Oxidation of M (M122);Pyrolidone from carbamidomethylated C (R323, R421)	Oxidation of M (1);Pyrolidone from carbamidomethylated C (2)			317.5489888997742	54.21953944303771	100.0	Confident
85	Single Protein	P14625	Endoplasmin (ENPL_HUMAN)	P14625		12	HSP90B1	Homo sapiens	9606	2.99	2.99	77.33	1	1	1	1	1	1					1.1352931098663794	92.41134411183229	100.0	Doubtful
86	Single Protein	P07998	Ribonuclease pancreatic (RNAS1_HUMAN)	P07998		14	RNASE1	Homo sapiens	9606	14.74	19.23	87.82	2	1	2	1	2	1	Pyrolidone from carbamidomethylated C (R66)	Pyrolidone from carbamidomethylated C (1)			5.146109643992858	17.63267553532856	100.0	Doubtful
87	Related Proteins	P08319	All-trans-retinol dehydrogenase [NAD(+)] ADH4 (ADH4_HUMAN)	P08319,P08319-2	P08319-2	4	ADH4	Homo sapiens	9606	3.95	3.95	75.26	1	1	1	1	1	1					2.465094479814761	40.195715098401706	95.08196721311475	Doubtful
88	Single Protein	P01019	Angiotensinogen (ANGT_HUMAN)	P01019		1	AGT	Homo sapiens	9606	58.35	65.36	55.46	49	42	49	42	106	98	Oxidation of M (M104, M107, M254, M368);Pyrolidone from Q (K219)	Oxidation of M (4);Pyrolidone from Q (1)			248.9837063812902	53.120514719463884	100.0	Confident
89	Related Proteins	OAS_antibody_pep_269		A0A0A0MS15,OAS_antibody_pep_269,P01782	A0A0A0MS15,P01782					100.0	100.0	100.0	3	3	2	2	3	3	Pyrolidone from E (E0)	Pyrolidone from E (1)			110.15890956672213	1.62385803372243	100.0	Confident
90	Single Protein	OAS_antibody_pep_70555		OAS_antibody_pep_70555						100.0	100.0	100.0	1	1	1	1	2	2					67.1444782120973	2.27910699074818	100.0	Doubtful
91	Related Proteins	P23141	Liver carboxylesterase 1 (EST1_HUMAN)	P23141,P23141-2,P23141-3	P23141-2,P23141-3	16	CES1	Homo sapiens	9606	3.53	4.94	68.61	2	1	2	1	2	1					1.8123830879872018	62.48115260982716	100.0	Doubtful
92	Related Proteins	A0A0J9YXX1	Immunoglobulin heavy variable 5-10-1 (HV5X1_HUMAN)	A0A0J9YXX1,OAS_antibody_pep_24006,OAS_antibody_pep_24885,OAS_antibody_pep_30807,OAS_antibody_pep_40122,OAS_antibody_pep_42820,OAS_antibody_pep_47399,OAS_antibody_pep_48039,OAS_antibody_pep_82919	OAS_antibody_pep_24006,OAS_antibody_pep_24885,OAS_antibody_pep_30807,OAS_antibody_pep_40122,OAS_antibody_pep_42820,OAS_antibody_pep_47399,OAS_antibody_pep_48039,OAS_antibody_pep_82919	14	IGHV5-10-1	Homo sapiens	9606	20.51	20.51	67.52	3	3	1	1	8	8					71.39412873185029	12.76428644256046	100.0	Confident
93	Single Protein	OAS_antibody_pep_86926		OAS_antibody_pep_86926						100.0	100.0	100.0	2	2	1	1	2	2					46.382698764935625	1.9110061545081	100.0	Confident
94	Single Protein	OAS_antibody_pep_39706		OAS_antibody_pep_39706						100.0	100.0	100.0	1	1	1	1	1	1					47.00113474846811	1.68785697109327	94.73684210526316	Doubtful
95	Related Proteins	CATA_HUMAN		CATA_HUMAN,P04040	P04040					13.69	23.0	66.16	8	4	8	4	16	10					18.233198824836766	59.58771482863906	100.0	Confident
96	Single Protein	Q08380	Galectin-3-binding protein (LG3BP_HUMAN)	Q08380		17	LGALS3BP	Homo sapiens	9606	23.59	30.26	59.32	13	10	13	10	23	21					38.60323747352568	65.28928569959865	100.0	Confident
97	Single Protein	P09486	SPARC (SPRC_HUMAN)	P09486		5	SPARC	Homo sapiens	9606	22.77	26.07	49.17	5	4	5	4	5	4					18.926631442336152	34.60970895752073	100.0	Confident
98	Related Proteins	OAS_antibody_pep_581		OAS_antibody_pep_581,OAS_antibody_pep_68046,OAS_antibody_pep_81440	OAS_antibody_pep_68046,OAS_antibody_pep_81440					100.0	100.0	100.0	1	1	1	1	1	1					47.00113474846811	1.6587900137322602	94.73684210526316	Doubtful
99	Single Protein	OAS_antibody_pep_13360		OAS_antibody_pep_13360						100.0	100.0	100.0	1	1	1	1	1	1					37.106159011948506	1.85296428969612	100.0	Doubtful
100	Related Proteins	OAS_antibody_pep_45		OAS_antibody_pep_2148,OAS_antibody_pep_2372,OAS_antibody_pep_25013,OAS_antibody_pep_26408,OAS_antibody_pep_26550,OAS_antibody_pep_36447,OAS_antibody_pep_42172,OAS_antibody_pep_45,OAS_antibody_pep_46032,OAS_antibody_pep_47939,OAS_antibody_pep_52133,OAS_antibody_pep_60026,OAS_antibody_pep_62361,OAS_antibody_pep_63879,OAS_antibody_pep_66230,OAS_antibody_pep_6625,OAS_antibody_pep_71542,OAS_antibody_pep_75584,OAS_antibody_pep_7740,OAS_antibody_pep_77633,OAS_antibody_pep_82082,OAS_antibody_pep_9070,OAS_antibody_pep_94016	OAS_antibody_pep_2148,OAS_antibody_pep_2372,OAS_antibody_pep_25013,OAS_antibody_pep_26408,OAS_antibody_pep_26550,OAS_antibody_pep_36447,OAS_antibody_pep_42172,OAS_antibody_pep_46032,OAS_antibody_pep_47939,OAS_antibody_pep_52133,OAS_antibody_pep_60026,OAS_antibody_pep_62361,OAS_antibody_pep_63879,OAS_antibody_pep_66230,OAS_antibody_pep_6625,OAS_antibody_pep_71542,OAS_antibody_pep_75584,OAS_antibody_pep_7740,OAS_antibody_pep_77633,OAS_antibody_pep_82082,OAS_antibody_pep_9070,OAS_antibody_pep_94016					100.0	100.0	100.0	5	4	2	2	16	5	Oxidation of M (M6)	Oxidation of M (1)			256.3698259007351	1.3216812556607702	99.67845659163987	Confident
101	Single Protein	OAS_antibody_pep_29055		OAS_antibody_pep_29055						100.0	100.0	100.0	2	2	1	1	4	4					120.59501678883264	1.89003230968629	100.0	Confident
102	Single Protein	P02775	Platelet basic protein (CXCL7_HUMAN)	P02775		4	PPBP	Homo sapiens	9606	26.56	38.28	60.16	5	4	5	4	18	17					146.49704337184866	13.88541689059674	100.0	Confident
103	Single Protein	OAS_antibody_pep_54269		OAS_antibody_pep_54269						100.0	100.0	100.0	1	1	1	1	1	1					58.75141843558513	1.23860775636734	95.38461538461537	Doubtful
104	Single Protein	P09871	Complement C1s subcomponent (C1S_HUMAN)	P09871		12	C1S	Homo sapiens	9606	36.63	46.37	53.49	32	26	30	26	82	73	Oxidation of M (M291, M501);Pyrolidone from Q (R244);Pyrolidone from carbamidomethylated C (Y249, K419)	Oxidation of M (2);Pyrolidone from Q (1);Pyrolidone from carbamidomethylated C (2)			134.10649860296607	76.63480164318679	100.0	Confident
105	Single Protein	P01619	Immunoglobulin kappa variable 3-20 (KV320_HUMAN)	P01619		2	IGKV3-20	Homo sapiens	9606	43.1	51.72	62.93	7	4	2	2	26	22					202.8131156954446	12.54926686960739	100.0	Confident
106	Single Protein	P08603	Complement factor H (CFAH_HUMAN)	P08603		1	CFH	Homo sapiens	9606	52.97	56.46	66.69	96	84	47	39	288	255	Oxidation of M (M63, M161, M189, M238, M339, M431, M514, M1000);Pyrolidone from E (K768);Pyrolidone from carbamidomethylated C (K144, K307, R318, K957, K1161)	Oxidation of M (8);Pyrolidone from E (1);Pyrolidone from carbamidomethylated C (5)			206.09510973749718	139.00469816836363	100.0	Confident
107	Single Protein	P08697	Alpha-2-antiplasmin (A2AP_HUMAN)	P08697		17	SERPINF2	Homo sapiens	9606	38.7	42.97	50.31	27	23	4	2	91	85	Oxidation of M (M344);Pyrolidone from Q (K195)	Oxidation of M (1);Pyrolidone from Q (1)	Oxidation of M (M267-{266 267})	Oxidation of M (1)	242.6171935396633	54.53106523573863	100.0	Confident
108	Single Protein	P01859	Immunoglobulin heavy constant gamma 2 (IGHG2_HUMAN)	P01859		14	IGHG2	Homo sapiens	9606	65.64	69.94	54.91	81	69	10	10	618	479	Oxidation of M (M236, M275, M306);Pyrolidone from E (R222, H307);Pyrolidone from Q (N239, W295);Pyrolidone from carbamidomethylated C (K100)	Oxidation of M (3);Pyrolidone from E (2);Pyrolidone from Q (2);Pyrolidone from carbamidomethylated C (1)			765.7377609509505	35.87775615263487	100.0	Confident
109	Related Proteins	OAS_antibody_pep_2765		OAS_antibody_pep_18067,OAS_antibody_pep_2765,OAS_antibody_pep_3676,OAS_antibody_pep_4452,OAS_antibody_pep_4457,OAS_antibody_pep_53922,OAS_antibody_pep_9103,OAS_antibody_pep_99265,P01768,P0DP02,P0DP03	OAS_antibody_pep_18067,OAS_antibody_pep_3676,OAS_antibody_pep_4452,OAS_antibody_pep_4457,OAS_antibody_pep_53922,OAS_antibody_pep_9103,OAS_antibody_pep_99265,P01768,P0DP02,P0DP03					100.0	100.0	100.0	1	1	1	1	3	3					141.0034042454043	1.63680968654768	87.3015873015873	Doubtful
110	Single Protein	P35542	Serum amyloid A-4 protein (SAA4_HUMAN)	P35542		11	SAA4	Homo sapiens	9606	43.08	50.77	86.92	10	8	10	8	25	21	Oxidation of M (M34, M42)	Oxidation of M (2)			124.7817736684994	14.73726847998246	100.0	Confident
111	Single Protein	P00736	Complement C1r subcomponent (C1R_HUMAN)	P00736		12	C1R	Homo sapiens	9606	23.83	37.73	59.15	32	18	26	15	65	53	Oxidation of M (M629);Pyrolidone from carbamidomethylated C (R445)	Oxidation of M (1);Pyrolidone from carbamidomethylated C (1)			71.00890861279353	80.06681427006153	100.0	Confident
112	Single Protein	OAS_antibody_pep_16951		OAS_antibody_pep_16951						100.0	100.0	100.0	3	3	3	3	5	5	Pyrolidone from E (E0)	Pyrolidone from E (1)			185.5307950597425	1.95305310470052	100.0	Confident
113	Single Protein	P40197	Platelet glycoprotein V (GPV_HUMAN)	P40197		3	GP5	Homo sapiens	9606	12.32	13.75	50.54	5	4	5	4	7	6					14.947357340502226	60.920683926933876	100.0	Confident
114	Single Protein	P02748	Complement component C9 (CO9_HUMAN)	P02748		5	C9	Homo sapiens	9606	17.53	26.83	66.19	12	7	11	6	15	11					19.054514087216802	63.13269902989474	100.0	Confident
115	Single Protein	P02649	Apolipoprotein E (APOE_HUMAN)	P02649		19	APOE	Homo sapiens	9606	57.73	68.45	85.17	27	20	27	20	63	56	Oxidation of M (M125, M142, M289)	Oxidation of M (3)			138.39223009271166	36.13175502860421	100.0	Confident
116	Single Protein	P02656	Apolipoprotein C-III (APOC3_HUMAN)	P02656		11	APOC3	Homo sapiens	9606	61.62	61.62	90.91	17	14	17	14	64	52	Oxidation of M (M31, M35)	Oxidation of M (2)			407.3431678200569	10.84549898830204	100.0	Confident
117	Single Protein	P01861	Immunoglobulin heavy constant gamma 4 (IGHG4_HUMAN)	P01861		14	IGHG4	Homo sapiens	9606	61.47	71.25	59.02	71	64	11	9	584	464	Oxidation of M (M237, M307);Phosphorylation of S (S118);Pyrolidone from E (P111, H308);Pyrolidone from Q (N240)	Oxidation of M (2);Phosphorylation of S (1);Pyrolidone from E (2);Pyrolidone from Q (1)			592.6891797620945	35.91786587959919	100.0	Confident
118	Related Proteins	A0A075B6S6	Immunoglobulin kappa variable 2D-30 (KVD30_HUMAN)	A0A075B6S6,P06310	P06310	2	IGKV2D-30	Homo sapiens	9606	16.67	16.67	38.33	2	2	1	1	4	4					51.088189943987075	13.20653436893012	100.0	Confident
119	Single Protein	Q92820	Gamma-glutamyl hydrolase (GGH_HUMAN)	Q92820		8	GGH	Homo sapiens	9606	23.9	30.82	62.26	7	5	7	5	9	7					24.92484418479369	35.941166928279664	100.0	Confident
120	Related Proteins	OAS_antibody_pep_78		OAS_antibody_pep_78,P01768,P01772,P0DP02,P0DP03	P01768,P01772,P0DP02,P0DP03					100.0	100.0	100.0	1	1	1	1	1	1	Pyrolidone from Q (Q0)	Pyrolidone from Q (1)			44.06356382668885	1.6088583680756001	100.0	Doubtful
121	Related Proteins	P08493	Matrix Gla protein (MGP_HUMAN)	P08493,P08493-2	P08493-2	12	MGP	Homo sapiens	9606	10.68	10.68	50.49	1	1	1	1	1	1					13.558019638981184	12.34529892619695	96.42857142857143	Doubtful
122	Related Proteins	P07333	Macrophage colony-stimulating factor 1 receptor (CSF1R_HUMAN)	P07333,P07333-2	P07333-2	5	CSF1R	Homo sapiens	9606	1.34	1.34	40.23	1	1	1	1	1	1					1.8031125862583677	107.91513006993885	100.0	Doubtful
123	Single Protein	P02760	Protein AMBP (AMBP_HUMAN)	P02760		9	AMBP	Homo sapiens	9606	53.13	62.78	71.31	24	21	24	21	39	33	Oxidation of M (M240, M242);Pyrolidone from carbamidomethylated C (K310)	Oxidation of M (2);Pyrolidone from carbamidomethylated C (1)			89.88264812456052	38.97398131913591	100.0	Confident
124	Single Protein	P05160	Coagulation factor XIII B chain (F13B_HUMAN)	P05160		1	F13B	Homo sapiens	9606	13.01	27.53	70.8	16	7	16	7	25	19					19.583806145195044	75.46116629277205	100.0	Confident
125	Related Proteins	P01593	Immunoglobulin kappa variable 1D-33 (KVD33_HUMAN)	P01593,P01594	P01594	2	IGKV1D-33	Homo sapiens	9606	49.57	52.14	65.81	6	5	2	2	13	11	Oxidation of M (M25)	Oxidation of M (1)			56.76760430659135	12.840268603136499	100.0	Confident
126	Related Proteins	OAS_antibody_pep_11418		OAS_antibody_pep_11418,OAS_antibody_pep_12025,OAS_antibody_pep_13095,OAS_antibody_pep_21354,OAS_antibody_pep_33136,OAS_antibody_pep_3670,OAS_antibody_pep_4761,OAS_antibody_pep_5183,OAS_antibody_pep_7502,OAS_antibody_pep_93655,P06331	OAS_antibody_pep_12025,OAS_antibody_pep_13095,OAS_antibody_pep_21354,OAS_antibody_pep_33136,OAS_antibody_pep_3670,OAS_antibody_pep_4761,OAS_antibody_pep_5183,OAS_antibody_pep_7502,OAS_antibody_pep_93655,P06331					100.0	100.0	100.0	1	1	1	1	2	2					67.1444782120973	2.31511822413822	100.0	Doubtful
127	Single Protein	Q9UK55	Protein Z-dependent protease inhibitor (ZPI_HUMAN)	Q9UK55		14	SERPINA10	Homo sapiens	9606	10.14	13.51	72.97	6	4	6	4	12	9	Oxidation of M (M305)	Oxidation of M (1)			19.583806145195044	50.6742231546874	100.0	Confident
128	Related Proteins	A0A0C4DH33	Immunoglobulin heavy variable 1-24 (HV124_HUMAN)	A0A0C4DH33,OAS_antibody_pep_22959,OAS_antibody_pep_23250,OAS_antibody_pep_48962,OAS_antibody_pep_93678	OAS_antibody_pep_22959,OAS_antibody_pep_23250,OAS_antibody_pep_48962,OAS_antibody_pep_93678	14	IGHV1-24	Homo sapiens	9606	17.09	17.09	92.31	1	1	1	1	2	2					13.055870763463362	12.81616031564082	100.0	Doubtful
129	Single Protein	P06702	Protein S100-A9 (S10A9_HUMAN)	P06702		1	S100A9	Homo sapiens	9606	44.74	80.7	88.6	7	4	7	4	11	10					55.84293237441756	13.23350823083527	100.0	Confident
130	Single Protein	P05154	Plasma serine protease inhibitor (IPSP_HUMAN)	P05154		14	SERPINA5	Homo sapiens	9606	10.1	17.98	66.5	9	5	7	3	17	10	Oxidation of M (M389)	Oxidation of M (1)			20.889393221541383	45.64568923968542	100.0	Confident
131	Related Proteins	P00740	Coagulation factor IX (FA9_HUMAN)	P00740,P00740-2	P00740-2	X	F9	Homo sapiens	9606	28.63	30.59	62.04	12	10	11	10	29	27					61.62736199536902	51.74499669515307	100.0	Confident
132	Single Protein	OAS_antibody_pep_1511		OAS_antibody_pep_1511						100.0	100.0	100.0	1	1	1	1	1	1					41.471589483942445	1.9628550587105802	100.0	Doubtful
133	Single Protein	P07225	Vitamin K-dependent protein S (PROS_HUMAN)	P07225		3	PROS1	Homo sapiens	9606	23.52	25.44	66.12	18	15	18	15	38	31	Oxidation of M (M384)	Oxidation of M (1)			48.89379789270173	75.07393526444778	100.0	Confident
134	Single Protein	OAS_antibody_pep_46890		OAS_antibody_pep_46890						100.0	100.0	100.0	5	4	2	2	17	6	Oxidation of M (M6)	Oxidation of M (1)			320.4622823759189	1.33569690572491	99.6742671009772	Confident
135	Single Protein	OAS_antibody_pep_51981		OAS_antibody_pep_51981						100.0	100.0	100.0	3	3	1	1	4	4					50.5056053218188	1.92698331088854	100.0	Confident
136	Single Protein	Q14624	Inter-alpha-trypsin inhibitor heavy chain H4 (ITIH4_HUMAN)	Q14624		3	ITIH4	Homo sapiens	9606	45.48	54.73	59.46	74	58	2	1	206	179	Oxidation of M (M70, M124, M543, M657, M821);Pyrolidone from E (K95);Pyrolidone from Q (R667, R752)	Oxidation of M (5);Pyrolidone from E (1);Pyrolidone from Q (2)			224.38154744295807	103.29298494904018	100.0	Confident
137	Single Protein	P48740	Mannan-binding lectin serine protease 1 (MASP1_HUMAN)	P48740		3	MASP1	Homo sapiens	9606	19.6	25.89	61.52	13	9	5	4	14	12	Oxidation of M (M601)	Oxidation of M (1)			16.395744679698176	79.19519734380994	100.0	Confident
138	Related Proteins	P01871	Immunoglobulin heavy constant mu (IGHM_HUMAN)	P01871,P01871-2	P01871-2	14	IGHM	Homo sapiens	9606	55.19	59.82	68.65	47	41	12	11	179	157	Oxidation of M (M78, M365, M382);Pyrolidone from E (R343);Pyrolidone from Q (R141, K152, K314);Pyrolidone from carbamidomethylated C (T349)	Oxidation of M (3);Pyrolidone from E (1);Pyrolidone from Q (3);Pyrolidone from carbamidomethylated C (1)			349.1081069741522	49.4085802315618	100.0	Confident
139	Related Proteins	OAS_antibody_pep_51993		OAS_antibody_pep_16905,OAS_antibody_pep_17510,OAS_antibody_pep_21182,OAS_antibody_pep_24125,OAS_antibody_pep_25957,OAS_antibody_pep_38482,OAS_antibody_pep_42444,OAS_antibody_pep_51993,OAS_antibody_pep_65787,P0DTE1	OAS_antibody_pep_16905,OAS_antibody_pep_17510,OAS_antibody_pep_21182,OAS_antibody_pep_24125,OAS_antibody_pep_25957,OAS_antibody_pep_38482,OAS_antibody_pep_42444,OAS_antibody_pep_65787,P0DTE1					100.0	100.0	100.0	5	5	2	2	13	6	Oxidation of M (M6)	Oxidation of M (1)			384.5547388511027	1.32568740367037	99.67532467532467	Confident
140	Related Proteins	A0A0C4DH38	Immunoglobulin heavy variable 5-51 (HV551_HUMAN)	A0A0C4DH38,OAS_antibody_pep_17798,OAS_antibody_pep_21487,OAS_antibody_pep_26926,OAS_antibody_pep_32171,OAS_antibody_pep_3619,OAS_antibody_pep_36784,OAS_antibody_pep_3851,OAS_antibody_pep_3864,OAS_antibody_pep_44063,OAS_antibody_pep_46915,OAS_antibody_pep_4703,OAS_antibody_pep_49425,OAS_antibody_pep_52038,OAS_antibody_pep_5604,OAS_antibody_pep_58306,OAS_antibody_pep_68940,OAS_antibody_pep_71573,OAS_antibody_pep_73214,OAS_antibody_pep_85628,OAS_antibody_pep_94198,OAS_antibody_pep_9455,OAS_antibody_pep_95821,OAS_antibody_pep_9654	OAS_antibody_pep_17798,OAS_antibody_pep_21487,OAS_antibody_pep_26926,OAS_antibody_pep_32171,OAS_antibody_pep_3619,OAS_antibody_pep_36784,OAS_antibody_pep_3851,OAS_antibody_pep_3864,OAS_antibody_pep_44063,OAS_antibody_pep_46915,OAS_antibody_pep_4703,OAS_antibody_pep_49425,OAS_antibody_pep_52038,OAS_antibody_pep_5604,OAS_antibody_pep_58306,OAS_antibody_pep_68940,OAS_antibody_pep_71573,OAS_antibody_pep_73214,OAS_antibody_pep_85628,OAS_antibody_pep_94198,OAS_antibody_pep_9455,OAS_antibody_pep_95821,OAS_antibody_pep_9654	14	IGHV5-51	Homo sapiens	9606	12.82	12.82	67.52	1	1	1	1	4	4					35.697064365925144	12.66629996736628	100.0	Doubtful
141	Single Protein	P00751	Complement factor B (CFAB_HUMAN)	P00751		6	CFB	Homo sapiens	9606	58.77	63.74	61.78	67	54	21	17	160	139	Oxidation of M (M511);Pyrolidone from Q (K731);Pyrolidone from carbamidomethylated C (Y163, K290, H525)	Oxidation of M (1);Pyrolidone from Q (1);Pyrolidone from carbamidomethylated C (3)	Oxidation of M (N393-{386 393})	Oxidation of M (1)	201.64681751196593	85.47852438134737	100.0	Confident
142	Single Protein	P0DOX5	Immunoglobulin gamma-1 heavy chain (IGG1_HUMAN)	P0DOX5				Homo sapiens	9606	62.36	63.03	71.49	111	99	10	8	911	755	Oxidation of M (M429);Pyrolidone from E (H430);Pyrolidone from Q (N362, W418);Pyrolidone from carbamidomethylated C (P229)	Oxidation of M (1);Pyrolidone from E (1);Pyrolidone from Q (2);Pyrolidone from carbamidomethylated C (1)			901.7702138072524	49.29769772326377	100.0	Confident
143	Related Proteins	OAS_antibody_pep_10		OAS_antibody_pep_10,OAS_antibody_pep_34688,OAS_antibody_pep_44167,OAS_antibody_pep_87873,OAS_antibody_pep_94217	OAS_antibody_pep_34688,OAS_antibody_pep_44167,OAS_antibody_pep_87873,OAS_antibody_pep_94217					100.0	100.0	100.0	3	2	2	2	4	2	Oxidation of M (M9);Pyrolidone from Q (Q0)	Oxidation of M (1);Pyrolidone from Q (1)			117.50283687117026	1.32862955444108	99.6742671009772	Confident
144	Single Protein	Q03591	Complement factor H-related protein 1 (FHR1_HUMAN)	Q03591		1	CFHR1	Homo sapiens	9606	32.42	37.88	60.3	15	13	3	2	34	31	Pyrolidone from carbamidomethylated C (K260)	Pyrolidone from carbamidomethylated C (1)			63.77038382957985	37.62596364140916	100.0	Confident
145	Single Protein	TRY1_BOVIN		TRY1_BOVIN						83.54	89.3	65.84	99	84	79	65	615	532	Oxidation of M (M105, M179);Phosphorylation of S (S203);Pyrolidone from E (G70);Pyrolidone from carbamidomethylated C (F43, Q134, K155, F180)	Oxidation of M (2);Phosphorylation of S (1);Pyrolidone from E (1);Pyrolidone from carbamidomethylated C (4)	Phosphorylation of S (G47-{51 56 47})	Phosphorylation of S (1)	2313.337100901165	25.40841929758348	100.0	Confident
146	Single Protein	P00450	Ceruloplasmin (CERU_HUMAN)	P00450		3	CP	Homo sapiens	9606	64.41	73.9	68.45	129	106	126	105	356	320	Oxidation of M (M157, M274, M287, M325, M334, M537, M556, M598, M622, M626, M635, M708);Pyrolidone from E (R425, K436);Pyrolidone from Q (R719)	Oxidation of M (12);Pyrolidone from E (2);Pyrolidone from Q (1)			299.8014767906402	122.12758861696376	100.0	Confident
147	Single Protein	CASB_BOVIN		CASB_BOVIN						3.13	14.73	46.88	3	1	3	1	3	3					6.71444782120973	25.09125404515174	98.24561403508771	Doubtful
148	Single Protein	P07359	Platelet glycoprotein Ib alpha chain (GP1BA_HUMAN)	P07359		17	GP1BA	Homo sapiens	9606	6.6	10.28	43.25	5	3	5	3	6	4					10.000241435844279	71.49517998539234	100.0	Confident
149	Single Protein	OAS_antibody_pep_62365		OAS_antibody_pep_62365						100.0	100.0	100.0	1	1	1	1	6	6					302.1501519544378	1.6818464064095702	100.0	Doubtful
150	Related Proteins	P17538	Chymotrypsinogen B (CTRB1_HUMAN)	P17538,Q6GPI1	Q6GPI1	16	CTRB1	Homo sapiens	9606	14.83	23.57	48.67	3	2	3	2	3	2					11.015890956672212	27.69491657338057	100.0	Confident
151	Related Proteins	OAS_antibody_pep_20256		OAS_antibody_pep_20256,OAS_antibody_pep_35451	OAS_antibody_pep_35451					100.0	100.0	100.0	1	1	1	1	1	1	Oxidation of M (M14)	Oxidation of M (1)			37.106159011948506	2.20199143304409	100.0	Doubtful
152	Related Proteins	P0C0L4	Complement C4-A (CO4A_HUMAN)	P0C0L4,P0C0L4-2	P0C0L4-2	6	C4A	Homo sapiens	9606	49.89	56.14	61.93	123	99	7	4	282	259	Oxidation of M (M192, M261, M327, M507, M1014, M1711);Pyrolidone from E (K934, R940);Pyrolidone from Q (L443, F646, E1011)	Oxidation of M (6);Pyrolidone from E (2);Pyrolidone from Q (3)			83.8839696552521	192.6644708802974	100.0	Confident
153	Related Proteins	O14786	Neuropilin-1 (NRP1_HUMAN)	O14786,O14786-2,O14786-3	O14786-2,O14786-3	10	NRP1	Homo sapiens	9606	2.06	2.06	59.37	1	1	1	1	1	1					1.2865274109982145	103.06859664865975	100.0	Doubtful
154	Single Protein	P43652	Afamin (AFAM_HUMAN)	P43652		4	AFM	Homo sapiens	9606	39.57	46.08	68.78	33	26	33	26	93	79	Oxidation of M (M100, M284)	Oxidation of M (2)			130.05168352731468	69.02401343147147	100.0	Confident
155	Single Protein	P20742	Pregnancy zone protein (PZP_HUMAN)	P20742		12	PZP	Homo sapiens	9606	27.46	31.65	48.79	50	39	6	5	185	143	Oxidation of M (M515, M1390);Pyrolidone from Q (R355, R479, K1245);Pyrolidone from carbamidomethylated C (F775)	Oxidation of M (2);Pyrolidone from Q (3);Pyrolidone from carbamidomethylated C (1)			85.32363673217758	163.75958277652447	100.0	Confident
156	Single Protein	P01042	Kininogen-1 (KNG1_HUMAN)	P01042		3	KNG1	Homo sapiens	9606	36.49	42.7	71.74	35	31	3	2	97	85	Oxidation of M (M177, M374, M378);Pyrolidone from Q (T17, R186)	Oxidation of M (3);Pyrolidone from Q (2)			77.06354885706621	71.9121508521073	100.0	Confident
157	Single Protein	P01817	Immunoglobulin heavy variable 2-5 (HV205_HUMAN)	P01817		14	IGHV2-5	Homo sapiens	9606	12.61	19.33	63.87	3	1	1	1	9	6					55.65923851792275	13.22280645940404	100.0	Doubtful
158	Single Protein	P04430	Immunoglobulin kappa variable 1-16 (KV116_HUMAN)	P04430		2	IGKV1-16	Homo sapiens	9606	29.06	36.75	64.96	5	4	1	1	10	9	Oxidation of M (M25)	Oxidation of M (1)			29.6849272095588	12.61019695884972	89.65517241379311	Confident
159	Related Proteins	O00321	ETS translocation variant 2 (ETV2_HUMAN)	O00321,O00321-2	O00321-2	19	ETV2	Homo sapiens	9606	3.22	3.22	46.2	2	1	2	1	4	3					13.38639913722193	36.609467913624435	96.49122807017544	Doubtful
160	Single Protein	P15169	Carboxypeptidase N catalytic chain (CBPN_HUMAN)	P15169		10	CPN1	Homo sapiens	9606	21.62	30.35	55.46	14	8	14	8	27	21	Oxidation of M (M84)	Oxidation of M (1)			52.73749371383233	52.253312009373786	100.0	Confident
